left_wrist_distance,right_wrist_distance,left_wrist_acceleration,right_wrist_acceleration,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,head_x,head_y,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count
0.0,0.0,0,0,1069.3556,780.93427,723.3188,554.7624,1031.1792,739.6469,767.34045,635.9661,996.0975,689.2354,846.746,661.1526,929.049,623.1028,STRAIGHT,172.07626,up,0,PARTIALLY BENT,136.06111,down,0
23.81162220115754,7.861256530862198,23.81162220115754,7.861256530862198,1045.5868,782.3617,728.0396,561.04834,1021.28357,739.07263,776.5395,633.9139,994.1572,684.0062,851.52454,658.5211,925.5106,616.06067,STRAIGHT,176.91484,up,0,PARTIALLY BENT,141.8159,down,0
47.66769813000292,25.76584451916073,23.83384906500146,12.882922259580365,1031.8568,762.8527,737.57324,576.2037,1020.3146,731.625,790.81024,637.8916,995.93884,679.7035,856.064,657.92413,926.3643,610.4,STRAIGHT,175.13634,down,0,PARTIALLY BENT,147.86053,down,0
105.79778578353468,68.34827334919302,35.26592859451156,22.78275778306434,1034.8357,704.799,755.2398,614.9484,1014.1298,708.2406,808.1245,659.6565,989.25903,672.07104,861.8978,664.6433,924.7561,605.40283,PARTIALLY BENT,115.07602,up,0,PARTIALLY BENT,145.08755,down,0
125.99193988834224,129.18815415654706,31.49798497208556,32.297038539136764,1031.261,684.92377,771.5812,673.5526,1010.9446,697.42786,813.5389,696.0779,980.0757,660.58624,864.7843,663.4788,920.3331,602.5538,PARTIALLY BENT,98.34805,up,0,PARTIALLY BENT,119.30866,down,0
148.59658859407443,198.61465310071185,29.719317718814885,39.72293062014237,1042.1093,665.09235,794.54736,739.0705,1049.2592,698.8014,822.4216,718.4324,973.4086,660.20245,849.93695,666.9084,914.9956,603.3594,FULLY BENT,51.05397,up,1,PARTIALLY BENT,154.61992,down,0
163.87173574619064,233.6440322331756,27.31195595769844,38.9406720388626,1042.1138,649.8172,808.17755,771.3393,1079.8806,689.21356,823.9547,749.3862,968.8374,662.63086,848.4515,673.89166,914.2956,603.8669,FULLY BENT,32.747055,up,1,STRAIGHT,162.27345,down,0
190.6934172120539,260.949468250631,27.24191674457913,37.27849546437586,1048.8633,623.85864,832.7408,759.4131,1077.5094,675.7906,810.89777,732.07837,975.44135,659.1065,840.9262,668.8223,912.7493,603.92944,FULLY BENT,51.835,up,1,PARTIALLY BENT,115.97756,up,0
209.86428834727334,272.9661408746392,26.233036043409168,34.1207676093299,1047.0665,604.77216,822.1484,765.0877,1087.4672,666.8297,818.2585,732.5417,977.0645,661.6267,847.048,670.3482,914.7547,598.7611,FULLY BENT,54.236908,up,1,PARTIALLY BENT,148.34483,up,0
218.8653178799814,302.50211629920983,24.318368653331266,33.61134625546776,1051.6707,597.0378,792.84503,768.7874,1074.8892,665.3084,800.0524,726.5533,974.1078,661.43823,847.3502,670.9643,910.72784,601.8131,FULLY BENT,69.01791,up,1,PARTIALLY BENT,149.29169,up,0
225.50191962619004,307.010953227355,22.550191962619003,30.7010953227355,1054.8458,591.21,793.9618,773.15576,1058.8164,665.26306,802.0564,725.6074,971.88245,666.5748,849.7094,672.60535,909.41895,602.93146,FULLY BENT,87.79533,up,1,PARTIALLY BENT,147.70335,up,0
241.4922506701817,326.70294149395664,21.95384097001652,29.700267408541514,1060.9398,605.9936,780.44257,758.83777,1049.699,677.9163,787.6309,716.1326,969.6272,672.2828,848.3791,671.18317,905.60394,603.9226,PARTIALLY BENT,94.858444,up,1,PARTIALLY BENT,136.05365,up,0
271.27322261077654,346.9884545373215,22.60610188423138,28.91570454477679,1063.8638,635.6307,772.93524,777.683,1031.8575,691.48706,772.2076,718.5476,961.8834,671.6036,842.1554,670.5328,906.19525,606.0771,PARTIALLY BENT,103.95035,up,1,PARTIALLY BENT,123.762184,up,0
317.42195857843035,375.9079294919133,24.417073736802333,28.915994576301024,1072.5537,680.95386,754.1591,755.6877,1024.8508,705.04553,767.41626,702.8411,962.39355,672.21875,840.2906,665.2007,903.933,607.5951,PARTIALLY BENT,125.4787,up,1,PARTIALLY BENT,131.39954,up,0
357.184935701594,402.10850370758055,25.513209692971,28.722035979112896,1084.795,718.78564,744.47815,731.34125,1029.754,705.7198,770.0938,694.674,974.2641,672.8083,833.1235,666.49,908.87384,620.75726,STRAIGHT,162.68144,up,1,PARTIALLY BENT,149.0301,up,0
395.0268914374331,451.4739261730211,26.335126095828873,30.098261744868072,1100.2899,753.3099,710.61163,695.4246,1034.2512,722.7869,766.8997,693.33887,971.953,678.1965,841.9194,668.83136,906.9071,619.16766,STRAIGHT,169.21277,up,1,STRAIGHT,164.03088,down,0
419.2462125637896,483.13374888411477,26.36230602417547,31.684832823550163,1079.6886,766.0441,719.11365,664.92773,1031.4532,731.6836,773.1836,688.88135,977.25665,686.389,842.17,673.10175,911.33185,627.37036,STRAIGHT,175.57715,up,1,PARTIALLY BENT,143.22217,down,0
442.3189151524432,511.3766620511689,26.310081134829353,32.37405450213387,1057.1538,761.09106,729.4139,638.63007,1024.7764,730.3726,745.3287,690.6791,977.31085,687.7203,834.6314,678.90045,910.20197,631.0493,STRAIGHT,178.44858,down,1,PARTIALLY BENT,99.488144,down,0
453.90272731422453,546.8432293554466,23.20699610204599,31.899663733750238,1062.3066,771.4657,733.34705,603.38226,1026.7417,735.4007,725.3357,668.18036,978.76416,690.2474,828.16626,677.3048,909.1158,635.3278,STRAIGHT,177.863,down,1,FULLY BENT,88.0227,down,1
470.52799527673375,579.1699834351055,22.9690703592261,29.99878861857055,1073.019,784.1796,719.8204,574.0216,1029.4877,743.23865,727.36053,654.09796,979.33344,694.02655,824.76807,670.14374,906.6541,632.0277,STRAIGHT,178.78711,up,1,PARTIALLY BENT,104.73345,down,1
525.202702251017,610.8223079483718,25.10707424379617,27.480510323177324,1036.6322,743.3713,701.5115,548.20197,1015.92523,719.8409,747.1358,634.9594,978.0044,688.8447,829.0465,666.83746,905.57043,626.98126,STRAIGHT,170.61032,down,1,PARTIALLY BENT,139.00417,down,1
555.4992163466472,618.0258491588139,26.108498706697105,25.625454461709214,1016.23706,720.9678,707.03424,543.577,1015.5879,713.6997,767.77423,614.97107,968.15796,685.01196,832.12744,664.0844,890.4137,618.3869,PARTIALLY BENT,126.27142,down,1,STRAIGHT,167.74046,down,1
614.4318284332608,638.9107246139321,28.249227414747125,25.19741709088673,1017.4541,662.0477,727.23566,548.87616,1017.7551,698.2464,781.2363,620.12244,963.3472,681.0678,837.2833,656.7278,896.2537,627.6044,FULLY BENT,72.0007,up,2,STRAIGHT,160.30939,down,1
635.7409230307794,679.6420249964423,28.391775645567076,27.111725608120196,1019.4483,640.83215,750.8779,582.04364,1025.599,685.3837,797.67596,636.54535,958.0488,674.54333,841.702,661.2369,893.9998,626.40546,FULLY BENT,73.02251,up,2,PARTIALLY BENT,159.93654,down,1
661.4082507440595,744.7441987163232,29.50286219093854,29.482805494474224,1010.59625,616.73956,775.5522,642.28876,1037.6293,663.85895,820.27203,677.5028,949.0435,657.06714,851.5481,662.43695,892.79083,608.0571,FULLY BENT,55.772274,up,2,PARTIALLY BENT,116.061424,down,1
717.3123471813011,824.0678466562839,32.7873618370074,34.470459561928585,1010.48804,560.8356,799.25616,717.9879,1049.8793,633.8029,812.255,708.47076,947.2497,647.653,828.9385,663.039,882.8308,602.8213,FULLY BENT,69.32349,up,2,PARTIALLY BENT,146.37413,down,1
750.5482447931707,882.3633473315563,33.93706627486594,37.04402705583997,1010.7082,527.6004,829.364,767.9067,1035.5676,615.42554,822.1288,726.75,945.64404,642.27496,826.2039,665.4459,885.8883,601.9534,PARTIALLY BENT,90.82011,up,2,STRAIGHT,166.22632,up,1
775.7551585824723,888.1739478380672,33.632129064779726,36.07903288671638,1014.4398,502.67123,834.13477,771.22375,1022.192,592.96216,818.5694,729.54254,943.4804,637.71313,825.18604,666.282,884.96265,600.4724,PARTIALLY BENT,114.712845,up,2,PARTIALLY BENT,153.55138,up,1
796.5509339061203,899.5552835926322,31.941931688512664,34.90982360671459,1013.02496,481.92365,843.86316,777.1308,1013.8957,576.9332,811.4964,734.5049,943.7968,633.22485,823.45264,664.8658,886.1087,594.3867,PARTIALLY BENT,128.24048,up,2,PARTIALLY BENT,133.04778,up,1
808.882180088909,935.3218133574061,30.113149625821006,35.54755397665504,1009.41583,470.1324,815.8189,754.9325,997.92175,570.85864,786.1053,717.20306,943.21564,629.1354,825.65485,661.10144,882.12256,590.29083,PARTIALLY BENT,143.3201,up,2,PARTIALLY BENT,106.59556,up,1
818.428712991969,956.1922095235032,28.22678810363572,33.6478855566988,1012.3228,479.22556,795.2932,751.155,989.8122,573.8179,776.21594,707.9423,944.5838,627.8615,832.32623,657.27356,887.3443,586.31635,PARTIALLY BENT,153.46048,up,2,PARTIALLY BENT,108.2625,up,1
856.1037358555745,974.0082697870964,29.123834886119003,32.724968060198776,1015.9756,516.7231,786.5085,735.65533,987.42993,596.0479,767.0827,700.0756,945.42224,637.0079,829.94055,654.452,884.1347,588.49097,PARTIALLY BENT,154.06815,up,2,PARTIALLY BENT,97.33933,up,1
902.4503974881046,1003.3166825914217,30.675432155710762,32.79600136935018,1022.85376,562.5565,780.9785,706.87335,991.3757,629.41266,754.6336,682.35187,942.5717,646.6991,827.24835,651.87695,884.44977,591.18164,PARTIALLY BENT,134.71683,up,2,FULLY BENT,65.71377,up,2
967.1584772489525,1026.6722877083162,34.21704999564853,31.988603890191293,1024.9019,627.2322,781.62415,683.5267,993.0993,668.6429,737.20825,658.86096,941.6702,658.4773,827.53235,652.1954,892.7644,597.77515,PARTIALLY BENT,116.342415,up,2,FULLY BENT,33.26552,up,2
1025.8644855909877,1057.1212042027405,37.022432687616934,31.863414717842325,1041.122,683.65295,777.71234,653.3301,997.80945,686.456,717.276,646.8708,947.26886,658.72546,821.68854,642.7145,891.34283,603.90674,PARTIALLY BENT,147.54456,up,2,FULLY BENT,8.380049,up,2
1074.2815196913198,1095.8150298137937,36.605254496020194,32.332848124361455,1032.7227,731.3359,757.8142,620.1446,997.0564,705.92914,721.0653,657.1867,954.3441,659.94104,817.1514,648.3638,891.5125,604.74493,STRAIGHT,168.34898,up,2,FULLY BENT,39.9813,down,2
1093.4026776135574,1122.2519784152678,35.860230751127354,33.615075283763595,1026.1293,749.2843,761.5417,593.97174,994.0915,716.91284,716.7834,651.08154,956.7559,666.98126,818.23505,657.72546,891.94855,605.45685,STRAIGHT,172.08353,up,2,FULLY BENT,55.660225,down,2
1100.044609639194,1149.2855029136485,32.37418541372889,34.0249852199811,1019.49316,749.5624,764.75256,567.1296,997.63403,710.4811,722.25476,639.27704,961.8922,666.1127,817.9563,655.5236,894.19507,606.96545,STRAIGHT,170.36554,down,2,FULLY BENT,69.13502,down,2
1118.3086380958734,1183.1103531675813,32.171181004339594,33.564555211409264,1030.1155,764.41974,774.75824,534.8185,987.52704,727.3396,749.9336,619.89825,954.07434,673.8121,819.49457,653.2886,888.36646,614.9079,STRAIGHT,163.04868,up,2,PARTIALLY BENT,99.37547,down,2
1138.6285398411505,1221.291372544398,31.81468593980607,31.769811588538314,1009.9188,766.65436,780.68665,497.10052,982.39734,729.21063,768.35254,600.63666,952.8501,675.90204,824.961,657.9303,887.47015,612.0613,STRAIGHT,172.68192,up,2,PARTIALLY BENT,128.5511,down,2
1160.6430241596702,1232.0360167304457,29.555378465224614,27.197878004944112,989.252,774.2386,787.7681,489.01968,969.6511,732.3205,790.2712,589.26434,954.08685,676.93097,829.46674,655.1628,888.47925,611.1428,STRAIGHT,170.63438,up,2,PARTIALLY BENT,150.68668,down,2
1205.5423775887537,1240.8927440322964,30.3329421863722,23.90195978004933,1011.5083,735.2436,790.6813,497.3836,983.53125,695.10333,807.3499,591.4629,950.721,658.3257,834.3845,655.40643,888.04047,610.34906,STRAIGHT,173.13889,down,2,STRAIGHT,167.12906,down,2
1259.686213989156,1264.298489471471,32.262070360445584,25.07496944222691,988.98145,686.0085,792.53357,520.71594,983.1797,680.64325,805.9827,608.6318,943.29425,658.6549,828.73724,658.17566,884.50183,614.0555,STRAIGHT,166.10594,down,2,STRAIGHT,164.02917,down,2
1277.4179222656949,1331.7427330451574,32.05779922397165,28.812496630168326,986.5106,668.44977,787.6932,587.98627,980.3445,675.4137,801.1972,645.9897,931.71094,654.7996,829.0807,657.3927,873.1623,606.9421,PARTIALLY BENT,108.552536,up,2,PARTIALLY BENT,125.34804,down,2
1306.892547458881,1398.573800090107,33.20069115799815,30.883465782180046,974.02625,641.7497,788.1555,654.81573,999.81866,675.28687,790.26843,689.222,922.96075,653.2504,829.6628,653.5913,874.38525,598.6571,FULLY BENT,36.438736,up,3,FULLY BENT,51.38603,down,3
1341.2187561861701,1475.9626341438457,34.8526695462801,34.65136164135616,975.06104,607.4391,794.85754,731.9138,1027.8303,655.7322,796.3299,707.7797,928.3014,638.3865,811.1644,651.25616,872.17316,591.0691,FULLY BENT,32.57783,up,3,STRAIGHT,168.78555,up,3
1365.4700030981826,1506.5489846283197,33.95775114950721,35.5027143227482,968.2381,584.1674,798.57385,762.27356,1038.3329,636.70044,784.841,724.81256,929.44415,640.25977,804.45465,658.5062,872.3548,589.4434,FULLY BENT,38.72217,up,3,PARTIALLY BENT,143.38913,up,3
1398.0175627135948,1511.4965268920844,33.03781101503269,33.878656286710836,964.47656,551.83795,803.02704,764.4293,1030.4668,618.0068,785.8136,723.2533,928.7932,636.1966,802.5953,657.34595,869.33075,587.5631,FULLY BENT,55.220562,up,3,PARTIALLY BENT,143.02747,up,3
1427.0631737291699,1533.4394773935983,30.660313098681165,33.78447931235214,959.70685,523.18665,789.0584,747.50684,1016.8629,604.55,773.7061,711.5426,930.00885,631.2761,803.9019,651.8809,871.65784,585.9053,FULLY BENT,72.01657,up,3,PARTIALLY BENT,130.03874,up,3
