frame_num,Head_x,L_shoulder_x,R_shoulder_x,R_elbow_x,R_wrist_x,L_elbow_x,L_wrist_x,Head_y,L_shoulder_y,R_shoulder_y,R_elbow_y,R_wrist_y,L_elbow_y,L_wrist_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count,left_dist_travel,right_dist_travel,left_accel,right_accel
0,929.049,623.1028,996.0975,689.2354,846.746,661.1526,767.34045,635.9661,723.3188,554.7624,1031.1792,739.6469,1069.3556,780.93427,684,490,1110,798,STRAIGHT,172.07626,up,0,PARTIALLY BENT,136.06111,down,0,0.0,0.0,0.0,0.0
1,925.5106,616.06067,994.1572,684.0062,851.52454,658.5211,776.5395,633.9139,728.0396,561.04834,1021.28357,739.07263,1045.5868,782.3617,690,488,1065,804,STRAIGHT,176.91484,up,0,PARTIALLY BENT,141.8159,down,0,23.81162220115754,7.861256530862198,23.81162220115754,7.861256530862198
2,926.3643,610.4,995.93884,679.7035,856.064,657.92413,790.81024,637.8916,737.57324,576.2037,1020.3146,731.625,1031.8568,762.8527,702,505,1054,776,STRAIGHT,175.13634,down,0,PARTIALLY BENT,147.86053,down,0,47.66769813000292,25.76584451916073,23.83384906500146,12.882922259580365
3,924.7561,605.40283,989.25903,672.07104,861.8978,664.6433,808.1245,659.6565,755.2398,614.9484,1014.1298,708.2406,1034.8357,704.799,718,540,1058,727,PARTIALLY BENT,115.07602,up,0,PARTIALLY BENT,145.08755,down,0,105.79778578353468,68.34827334919302,35.26592859451156,22.78275778306434
4,920.3331,602.5538,980.0757,660.58624,864.7843,663.4788,813.5389,696.0779,771.5812,673.5526,1010.9446,697.42786,1031.261,684.92377,731,547,1063,717,PARTIALLY BENT,98.34805,up,0,PARTIALLY BENT,119.30866,down,0,125.99193988834224,129.18815415654706,31.49798497208556,32.297038539136764
5,914.9956,603.3594,973.4086,660.20245,849.93695,666.9084,822.4216,718.4324,794.54736,739.0705,1049.2592,698.8014,1042.1093,665.09235,748,547,1078,764,FULLY BENT,51.05397,up,1,PARTIALLY BENT,154.61992,down,0,148.59658859407443,198.61465310071185,29.719317718814885,39.72293062014237
6,914.2956,603.8669,968.8374,662.63086,848.4515,673.89166,823.9547,749.3862,808.17755,771.3393,1079.8806,689.21356,1042.1138,649.8172,775,544,1108,799,FULLY BENT,32.747055,up,1,STRAIGHT,162.27345,down,0,163.87173574619064,233.6440322331756,27.31195595769844,38.9406720388626
7,912.7493,603.92944,975.44135,659.1065,840.9262,668.8223,810.89777,732.07837,832.7408,759.4131,1077.5094,675.7906,1048.8633,623.85864,786,546,1108,793,FULLY BENT,51.835,up,1,PARTIALLY BENT,115.97756,up,0,190.6934172120539,260.949468250631,27.24191674457913,37.27849546437586
8,914.7547,598.7611,977.0645,661.6267,847.048,670.3482,818.2585,732.5417,822.1484,765.0877,1087.4672,666.8297,1047.0665,604.77216,785,546,1111,793,FULLY BENT,54.236908,up,1,PARTIALLY BENT,148.34483,up,0,209.86428834727334,272.9661408746392,26.233036043409168,34.1207676093299
9,910.72784,601.8131,974.1078,661.43823,847.3502,670.9643,800.0524,726.5533,792.84503,768.7874,1074.8892,665.3084,1051.6707,597.0378,762,534,1100,796,FULLY BENT,69.01791,up,1,PARTIALLY BENT,149.29169,up,0,218.8653178799814,302.50211629920983,24.318368653331266,33.61134625546776
